,Unnamed: 0,Tweet,Autor,Fecha,Likes,Retweets,Subjectividad,Polaridad,Analisis
0,0,"_espanol:    Josep Borrell, jefe de la diplomacia de la UE, atribuye la inseguridad alimentaria mundial al bloqueo ruso de pue…",mindiespe,2022-06-20 23:48:13,44,0,0.0,0.0,Neutral
1,1,": La Iniciativa de los Tres Mares, que engloba doce Estados miembros de la UE ubicados entre los mares Báltico, Adriático y…",RaiderJ0KER,2022-06-20 23:48:12,12,0,0.0,0.0,Neutral
2,2,: Rusia informa que dejó polvo cósmico cuatro cañones Howitzer suministrados a Ucrania por EEUU en Donetsk.,lucy13mujer,2022-06-20 23:48:11,337,0,0.0,0.0,Neutral
3,3,":  Rusia vs Ucrania (día 117) - Según oficiales del Pentágono, una guerra prolongada hará que Rusia se muestre más agr…",marcovallejob,2022-06-20 23:48:09,7,0,0.0,0.0,Neutral
4,4,": Azmilitary1:
La crisis por la situación en Ucrania será duradera, Rusia nunca volverhá a confiar en Occidente, 
dijo Dm…",Luisbasaragua6,2022-06-20 23:48:07,11,0,0.0,0.0,Neutral
5,5,: Las fuerzas especiales rusas del grupo🅾️ desnazificaron a varios ucronazis del Batallón Aidar en la región de Slovyansk…,FreddyJohans,2022-06-20 23:48:06,26,0,0.0,0.0,Neutral
6,6,"_token: Las naciones de la UE presionan por nuevas sanciones a Rusia y más ayuda militar a Ucrania.

En su mayoría estados nórdic…",bagdoliofig,2022-06-20 23:48:03,118,0,0.0,0.0,Neutral
7,7,: ALERTA De acuerdo con reportes del Min de Defensa de Rusia los EEUU probaron neuromoduladores altamente activos en ciudad…,JeanC1981,2022-06-20 23:48:02,27,0,0.0,0.0,Neutral
8,8,"2: Uyy esto no le va a gustar al tal Ricardo Anaya..
A puro humo van en Alemania. 
El gobierno alemán anuncia que va a reacti…",amercamp2013,2022-06-20 23:48:02,1198,0,0.0,0.0,Neutral
9,9,": MIENTE
‼️ Por supuesto, Ucrania nunca se uniría ni a la UE ni a la OTAN, le están mintiendo a Ucrania durante 30 años,…",chugar_jhonson,2022-06-20 23:48:01,16,0,0.0,0.0,Neutral
10,10,"_VN: Infografía 

▶️ Conoce la impresionante cifra de armamento y equipamiento militar que Estados Unidos ha entregado a Ucrani…",henryjcarrera,2022-06-20 23:48:00,38,0,0.0,0.0,Neutral
11,11,": Saludos Familia en colombia
desde algun lugar de Ucrania ",giorozas,2022-06-20 23:47:59,17,0,0.0,0.0,Neutral
12,12,: Lo atan y le ponen film en el cuello para que se ahogue cuando el cuerpo no resista más el cansancio. (Pero no son nazis)…,linoahm,2022-06-20 23:47:59,1006,0,0.0,0.0,Neutral
13,13,"Canciller Serguéi Lavrov 
Rusia inició su operativo cuando no le quedó otra manera para explicarle a Occidente qu… ",geniuslawyer,2022-06-20 23:47:59,0,0,0.0,0.0,Neutral
14,14,"_ai: Faltó política, faltó diálogo: el  ""lentejo"" aseguró que la guerra entre Rusia y Ucrania fue mal manejada por las naciones…",tumac701128,2022-06-20 23:47:59,71,0,0.0,0.0,Neutral
15,15,"_token: Ucrania ataca plataformas petrolíferas rusas en mar Negro, según autoridades.

Al menos 3 personas resultaron heridas y 7 d…",guiller76077585,2022-06-20 23:47:56,205,0,0.0,0.0,Neutral
16,16," Ah, y aun lado de la bandera de Ucrania también cuelga la bandera de España.",crescenciohb200,2022-06-20 23:47:54,0,0,0.0,0.0,Neutral
17,17,":  | Ucrania bombardeo un edificio residencial, en la ciudad Donetsk, hiriendo a 4 personas, entre ellos un niño. Lo…",alexosantini,2022-06-20 23:47:53,1,0,0.0,0.0,Neutral
18,18,: ❗️Crimea denuncia que ataques de Ucrania contra sus plataformas de perforación de gas dejaron varios heridos,Luisbasaragua6,2022-06-20 23:47:52,59,0,0.0,0.0,Neutral
19,19,": Crimea denuncia ataques de Ucrania contra plataformas de perforación

Al menos tres personas resultaron heridas en un ata…",DEPORTIV,2022-06-20 23:47:47,28,0,0.0,0.0,Neutral
20,20,": Saludos Familia en colombia
desde algun lugar de Ucrania ",air0ee,2022-06-20 23:47:44,17,0,0.0,0.0,Neutral
21,21,"_token: ALERTA: 

Tanques rusos T-80BV llegando a Lugansk. Video Ucrania. ",JacquelinSnch13,2022-06-20 23:47:44,34,0,0.0,0.0,Neutral
22,22,"Entre ellos, en particular, el caso contra un soldado del 23.º batallón separado de infantería motorizada de las Fu… ",CFBotonesNegros,2022-06-20 23:47:42,0,0,0.3333333333333333,0.16666666666666666,Positivo
23,23,32JUSTO: 🟠 ¡TODO fue PLANEADO! ⏲️ Y viene LO PEOR   [Urgente Difundir] Crisis ec...  a través de …,3277Condor,2022-06-20 23:47:42,2,0,0.0,0.0,Neutral
24,24,"2: Uyy esto no le va a gustar al tal Ricardo Anaya..
A puro humo van en Alemania. 
El gobierno alemán anuncia que va a reacti…",kh3603716,2022-06-20 23:47:41,1198,0,0.0,0.0,Neutral
25,25,":  | La Unión Europea impulsa y declara apoyar a Ucrania en toda esta situación, pero la verdad impone sanciones ficticias ya q…",_jjpilot,2022-06-20 23:47:39,102,0,0.0,0.0,Neutral
26,26," Que se vayan a Ucrania, los neonazis necesitan esclavos para la reconstrucción...",remmakess,2022-06-20 23:47:37,0,0,0.0,0.0,Neutral
27,27,"15056622: Ataque MLRS del ejército contra posiciones rusas en en Kherson.
Se les corto la digestión....PUMMMM!!!!!!!
Ukraine…",DazSahily,2022-06-20 23:47:36,6,0,0.0,0.0,Neutral
28,28,": Saludos Familia en colombia
desde algun lugar de Ucrania ",LuzMarinaPiedr4,2022-06-20 23:47:34,17,0,0.0,0.0,Neutral
29,29," | Ucrania bombardeo un edificio residencial, en la ciudad Donetsk, hiriendo a 4 personas, entre ellos un niño.… ",MundoEConflicto,2022-06-20 23:47:33,1,2,0.0,0.0,Neutral
30,30,: Azmilitary1: ‼️Es MUY PROBABLE que Ucrania se convierta en miembro de la UE – Presidente de EE. UU. y UE-Biden (…,chugar_jhonson,2022-06-20 23:47:33,30,0,0.0,0.0,Neutral
31,31,": Leyendo la carta d Lasso a Iza (no lo puedo creer) Desde el 1er punto (gasolina) para la cual Iza pide: Diesel $1.50, Extra…",dardevix,2022-06-20 23:47:32,202,0,0.0,0.0,Neutral
32,32,:  | Revelan en RRSS el parecido físico entre Adolf Hitler y Volodímir Zelenski. La forma de los ojos y la nariz fuero…,GoitiaChavez,2022-06-20 23:47:32,3,0,0.0,0.0,Neutral
33,33,4: Ucrania ha atacado una plataforma petrolera en el mar negro…y el precio del gas y petróleo para Europa se disparan…cual…,Ranthalos,2022-06-20 23:47:32,125,0,0.0,0.0,Neutral
34,34,10: La periodista alemana Alina Lipp se enfrenta a 3 años de prisión por su cobertura de la guerra en Ucrania ,Comando_Patria,2022-06-20 23:47:30,275,0,0.0,0.0,Neutral
35,35,"53: Si hay una crisis alimentaria, pero no es en Ucrania, ni Europa ...es Yemen donde según UNICEF cada 10 minutos muere un niño p…",hermann_otto71,2022-06-20 23:47:30,1942,0,0.0,0.0,Neutral
36,36,": 1 Por semanas reportamos el REAL CURSO de la guerra: gravísimas pérdidas humanas/materiales ucranianas
Por eso, NO NOS E…",CarlosCatary,2022-06-20 23:47:27,76,0,0.30000000000000004,0.2,Positivo
37,37,": Leyendo la carta d Lasso a Iza (no lo puedo creer) Desde el 1er punto (gasolina) para la cual Iza pide: Diesel $1.50, Extra…",Rebelde593,2022-06-20 23:47:25,202,0,0.0,0.0,Neutral
38,38," Da pena los ejemplos que expones, pues sabés muy bien que los comodities aumentaron de precios, tan… ",RafaelF61628160,2022-06-20 23:47:24,0,0,0.0,0.0,Neutral
39,39,"1: ASI, ASI ES QUE SE GOBIERNA..!!
Medalla de bronce para Maduro en la cantidad de Venezolanos refugiados en el mundo según…",JoseAguilarAg13,2022-06-20 23:47:24,73,0,0.0,0.0,Neutral
40,40,: Los bombardeos rusos sobre Ucrania mataron hasta la fecha 323 niños y provocaron heridas a 586. A este criminal el presidente…,estelamoleon,2022-06-20 23:47:22,174,0,0.55,-0.4,Negativo
41,41,": En Jersón, un recluta de las Fuerzas Armadas de Ucrania se rindió voluntariamente al ejército ruso. El soldado del ejérci…",jeraldino82,2022-06-20 23:47:17,13,0,0.0,0.0,Neutral
42,42,": Ucrania prohíbe la música rusa: bien.
Irán prohíbe la música occidental: fanáticos

Prohibir escuchar o leer es propio de re…",hugo178134,2022-06-20 23:47:17,151,0,0.0,0.0,Neutral
43,43,": Leyendo la carta d Lasso a Iza (no lo puedo creer) Desde el 1er punto (gasolina) para la cual Iza pide: Diesel $1.50, Extra…",necioquitoecu,2022-06-20 23:47:14,202,0,0.0,0.0,Neutral
44,44,4: Ucrania ha atacado una plataforma petrolera en el mar negro…y el precio del gas y petróleo para Europa se disparan…cual…,betoagca,2022-06-20 23:47:13,125,0,0.0,0.0,Neutral
45,45,": Para Turquía, la crisis de Ucrania significa una temporada abierta contra los kurdos  a través…",merce_blitz,2022-06-20 23:47:13,2,0,0.0,0.0,Neutral
46,46,: ÚLTIMAHORA Rusia no puede garantizar que los dos mercenarios estadounidenses capturados en Ucrania no sean condenados a…,ludwig813,2022-06-20 23:47:12,41,0,0.0,0.0,Neutral
47,47,": Ha ganado el fascismo porque votáis mal.

Las próxima vez votad a la ""izquierda"" que arma a fascistas en Ucrania, en luga…",StormShur,2022-06-20 23:47:11,8,0,0.0,0.0,Neutral
48,48,"_VN: Infografía 

▶️ Conoce la impresionante cifra de armamento y equipamiento militar que Estados Unidos ha entregado a Ucrani…",Josue_0703,2022-06-20 23:47:08,38,0,0.0,0.0,Neutral
49,49,"2: Uyy esto no le va a gustar al tal Ricardo Anaya..
A puro humo van en Alemania. 
El gobierno alemán anuncia que va a reacti…",YOLANDA_GLZ,2022-06-20 23:47:08,1198,0,0.0,0.0,Neutral
50,50,: ALERTA De acuerdo con reportes del Min de Defensa de Rusia los EEUU probaron neuromoduladores altamente activos en ciudad…,Co2Marina,2022-06-20 23:47:08,27,0,0.0,0.0,Neutral
51,51,": Hoy en el episodio de ""En Ucrania no hay nazis, es propaganda del Kremlin"", un nuevo soldado nazi capturado en el frent…",FreddyJohans,2022-06-20 23:47:07,113,0,0.1,-0.1,Negativo
52,52,": La periodista alemana Alina Lipp se enfrenta a 3 años de cárcel por su cobertura de la guerra en Ucrania. 

3 años de cárcel…",mancha,2022-06-20 23:47:06,2159,0,0.0,0.0,Neutral
53,53,"8: Canciller Serguéi Lavrov 
Rusia inició su operativo cuando no le quedó otra manera para explicarle a Occidente que se esta…",Pteran41,2022-06-20 23:47:06,23,0,0.0,0.0,Neutral
54,54,": ⚡❗La parte ucraniana admitió lo obvio: Metelkino quedó bajo el control de las Fuerzas Antiglobalistas Z Gauleiter,…",Belus47881569,2022-06-20 23:47:05,11,0,0.0,0.0,Neutral
55,55,"_VN: Infografía 

▶️ Conoce la impresionante cifra de armamento y equipamiento militar que Estados Unidos ha entregado a Ucrani…",Rebeldement3,2022-06-20 23:47:04,38,0,0.0,0.0,Neutral
56,56, 24377072  _G_P  Informe de la ONU de 2016 dice que Ucrania era un estado… ,SayunDaniel,2022-06-20 23:47:03,0,1,0.0,0.0,Neutral
57,57,4: Ucrania ha atacado una plataforma petrolera en el mar negro…y el precio del gas y petróleo para Europa se disparan…cual…,cris_geithner,2022-06-20 23:47:02,125,0,0.0,0.0,Neutral
58,58,": Leyendo la carta d Lasso a Iza (no lo puedo creer) Desde el 1er punto (gasolina) para la cual Iza pide: Diesel $1.50, Extra…",smercedesfranco,2022-06-20 23:47:02,202,0,0.0,0.0,Neutral
59,59, Lucharemos incansables ante semejante amenaza a nuestra libertad....vemos el ejemplo de Ucrania ante una… ,gacettis,2022-06-20 23:47:02,0,0,0.0,0.0,Neutral
60,60,"53: Si hay una crisis alimentaria, pero no es en Ucrania, ni Europa ...es Yemen donde según UNICEF cada 10 minutos muere un niño p…",EdreiraGraciel1,2022-06-20 23:47:00,1942,0,0.0,0.0,Neutral
61,61,": La ""prensa"" otanista: En Ucrania no hay nazis, es un mito, una leyenda, es propaganda del Kremlin.

Artem Bonov, el ant…",Leo53337497,2022-06-20 23:47:00,108,0,0.1,-0.1,Negativo
62,62,": Después de promover el cerco comercial de europa contra Rusia, ahora Borrell denuncia un supuesto “bloqueo” ruso de ce…",RogerSegundoQu1,2022-06-20 23:46:56,357,0,0.0,0.0,Neutral
63,63,": Casi el 40% de las exportaciones colombianas se componen de petróleo y sus derivados. También café y oro, materias primas qu…",Andresrm24,2022-06-20 23:46:50,3,0,0.0,0.0,Neutral
64,64,": Leyendo la carta d Lasso a Iza (no lo puedo creer) Desde el 1er punto (gasolina) para la cual Iza pide: Diesel $1.50, Extra…",JAVIERPazmino6,2022-06-20 23:46:49,202,0,0.0,0.0,Neutral
65,65,: Las armas que Estados Unidos proporcionó a Ucrania! Vía _VN LaVerdadDeVenezuela ,carmguz,2022-06-20 23:46:47,6,0,0.0,0.0,Neutral
66,66,: Los bombardeos rusos sobre Ucrania mataron hasta la fecha 323 niños y provocaron heridas a 586. A este criminal el presidente…,GriseldaLerda,2022-06-20 23:46:47,174,0,0.55,-0.4,Negativo
67,67,"15056622:  Lanzador RM-70 en acción, la nueva música ha llegado al frente, tócala otra vez Sam.....
Ukraine Ucrania Russi…",DazSahily,2022-06-20 23:46:44,6,0,0.0,0.0,Neutral
68,68,": El primer ministro británico subrayó que en el hipotético caso de que Ucrania perdiera la guerra, ""Putin no se detendría"". htt…",Ricardez76,2022-06-20 23:46:44,10,0,0.0,0.0,Neutral
69,69,": Dice Sánchez que hay que parar a ""la extrema derecha en Europa"". Por eso envía armas y dinero al batallón Azov, al batall…",rociocangla,2022-06-20 23:46:42,212,0,0.0,0.0,Neutral
70,70,: ÚLTIMAHORA Rusia no puede garantizar que los dos mercenarios estadounidenses capturados en Ucrania no sean condenados a…,03Ralz,2022-06-20 23:46:41,41,0,0.0,0.0,Neutral
71,71,4: Ucrania ha atacado una plataforma petrolera en el mar negro…y el precio del gas y petróleo para Europa se disparan…cual…,linoahm,2022-06-20 23:46:38,125,0,0.0,0.0,Neutral
72,72,"_es: El periodista español Pablo González lleva detenido en Polonia desde el pasado 28 de febrero, acusado de ser espía ruso

ht…",quinapaciencia,2022-06-20 23:46:37,53,0,0.0,0.0,Neutral
73,73," Empezó la manipuación......  para su información:

Todas la petroleras a nivel mundial están cayendo i… ",DAVIDAL77669568,2022-06-20 23:46:36,0,0,0.0,0.0,Neutral
74,74,": Con la guerra en Ucrania lejos de resolverse y sus consecuencias evidenciándose por doquier, es imposible olvidar que en me…",hjpiedra,2022-06-20 23:46:35,91,0,0.0,0.0,Neutral
75,75,4: Ucrania ha atacado una plataforma petrolera en el mar negro…y el precio del gas y petróleo para Europa se disparan…cual…,luppogamma,2022-06-20 23:46:34,125,0,0.0,0.0,Neutral
76,76,": Lavrov: 
""Hable con ciudadanos de Irak o Libia cuyos países quedaron arruinados. Después de esto, la OTAN se llama a sí…",Guiller6127,2022-06-20 23:46:34,282,0,0.0,0.0,Neutral
77,77,"_espanol: Ucrania prevé ataques rusos de mayor intensidad en los próximos días

Zelenski hace este anuncio cuando Kiev espera la dec…",lubricac2,2022-06-20 23:46:32,59,0,0.0,0.0,Neutral
78,78,": La secretaria del Tesoro de EE.UU., Janet Yellen, reconoce que el deseo de Washington de «castigar» a Rusia por su ope…",aponwaog,2022-06-20 23:46:31,24,0,0.0,0.0,Neutral
79,79,: Ucrania ha atacado con misiles una plataforma petrolífera rusa en el Mar Negro (objetivo civil) dejando decenas de trab…,Hermes61629648,2022-06-20 23:46:31,327,0,0.0,0.0,Neutral
80,80,": Leyendo la carta d Lasso a Iza (no lo puedo creer) Desde el 1er punto (gasolina) para la cual Iza pide: Diesel $1.50, Extra…",Fer_Luftwaffe,2022-06-20 23:46:27,202,0,0.0,0.0,Neutral
81,81,: Las Fuerzas Armadas de Ucrania se niegan el traslado al área de Severodonetsk debido a las enormes pérdidas. Para tratar de…,enbcncat,2022-06-20 23:46:26,28,0,0.0,0.0,Neutral
82,82,": Mientras envía armamento militar a Ucrania, el gobierno de Alemania pide al pueblo ahorrar gas tras la crisis. Muy ""demó…",aponwaog,2022-06-20 23:46:22,68,0,0.0,0.0,Neutral
83,83,"1: Que cachondo Zelesky, el Donbass ya no es Ucrania y el cocainómano nazi ni con todo el armamento de EU y EEUU ha podido evit…",thebosscule,2022-06-20 23:46:22,4,0,0.0,0.0,Neutral
84,84,4: Ucrania ha atacado una plataforma petrolera en el mar negro…y el precio del gas y petróleo para Europa se disparan…cual…,calderonjcarls,2022-06-20 23:46:19,125,0,0.0,0.0,Neutral
85,85,: Ucrania acaba de atacar territorio de Rusia con 15 proyectiles calibre 155mm enviados por la OTAN. Hay una víctima mortal.…,CarlosEspAlc,2022-06-20 23:46:19,910,0,0.0,0.0,Neutral
86,86,"53: Si hay una crisis alimentaria, pero no es en Ucrania, ni Europa ...es Yemen donde según UNICEF cada 10 minutos muere un niño p…",LineSbelt,2022-06-20 23:46:19,1942,0,0.0,0.0,Neutral
87,87,: Las fuerzas especiales rusas del grupo🅾️ desnazificaron a varios ucronazis del Batallón Aidar en la región de Slovyansk…,aggantesde,2022-06-20 23:46:18,26,0,0.0,0.0,Neutral
88,88,: Ucrania ha atacado con misiles una plataforma petrolífera rusa en el Mar Negro (objetivo civil) dejando decenas de trab…,jose36654012,2022-06-20 23:46:14,327,0,0.0,0.0,Neutral
89,89,: ULTIMAHORA El régimen de Kiev asegura que Bielorrusia pronto atacará a Ucrania cerca de la dirección de Kiev para abrir…,A_Jorge2013,2022-06-20 23:46:14,6,0,0.0,0.0,Neutral
90,90,"15056622:  Multitudinaria manifestación en Tiflis para demostrar el apoyo de la ciudadanía ""a la opción europea y los valores…",DazSahily,2022-06-20 23:46:14,5,0,0.0,0.0,Neutral
91,91,": Leyendo la carta d Lasso a Iza (no lo puedo creer) Desde el 1er punto (gasolina) para la cual Iza pide: Diesel $1.50, Extra…",InesitaChurona,2022-06-20 23:46:11,202,0,0.0,0.0,Neutral
92,92,Las fuerzas rusas capturaron territorio a lo largo de un río en el este de Ucrania e intensificaron la presión sobr… ,larepublica_co,2022-06-20 23:46:10,0,0,0.0,0.0,Neutral
93,93,": 2) Hay una guerra en Rusia y Ucrania! Es normal que la comida esté cara

3) Vivimos 20 años de uribismo, es obvio que iba a…",JaimeThach,2022-06-20 23:46:09,57,0,0.6499999999999999,0.15,Positivo
94,94,": Hoy en el episodio de ""En Ucrania no hay nazis, es propaganda del Kremlin"", un nuevo soldado nazi capturado en el frent…",aggantesde,2022-06-20 23:46:08,113,0,0.1,-0.1,Negativo
95,95,": Los Valores Europeos que nos unen contra Rusia y la prehistoria.
Los valores de Ucrania es el precio del kilo de bebé
Y el val…",hergarjoel,2022-06-20 23:46:08,1,0,0.0,0.0,Neutral
96,96,: Casi todas las petroleras del mundo caen hoy en la bolsa por el comportamiento del dólar y la guerra en Ucrania. De hecho a…,Theevilreapeer,2022-06-20 23:46:04,7,0,0.0,0.0,Neutral
97,97,: Los bombardeos rusos sobre Ucrania mataron hasta la fecha 323 niños y provocaron heridas a 586. A este criminal el presidente…,xmasrepublica,2022-06-20 23:46:04,174,0,0.55,-0.4,Negativo
98,98,: Inicia el Global Media Fórum organizado por la _espanol. Más de 90 países y representantes de medios en primer encue…,georyano,2022-06-20 23:46:02,13,0,0.0,0.0,Neutral
99,99,": EEUU envió a Ucrania 10 obuses M777, Rusia informa que lo convirtió en chatarra. El mejor regalo para el Día del Padre a…",Comando_Patria,2022-06-20 23:46:02,593,0,0.0,0.0,Neutral
